ensembl_gene_id,symbol,mean_normalized_count,median_normalized_count,maximum_normalized_count,samples_with_normalized_count_ge_10,expression_filter_pass,log2_expression_variance,PCA_variance_rank,PCA_top1000_used
ENSMUSG00000042451,Mybph,1588.41748589603,96.3275620079929,8087.25654003283,23,TRUE,21.1005300028332,1,TRUE
ENSMUSG00000020908,Myh3,6694.54563511,606.474554139383,29343.1704337131,31,TRUE,19.9400363039687,2,TRUE
ENSMUSG00000042254,Cilp,3839.30490931176,363.061506458679,24265.4121219613,30,TRUE,18.8008052603541,3,TRUE
ENSMUSG00000056328,Myh1,2708.72979973161,53.5358188111244,17022.2603739087,25,TRUE,18.5422595401632,4,TRUE
ENSMUSG00000026407,Cacna1s,466.642352927792,26.9624020260549,2484.68283947313,21,TRUE,15.9231582481183,5,TRUE
ENSMUSG00000057003,Myh4,325.860691412489,3.53556454449483,2312.52555021559,12,TRUE,15.4854464585172,6,TRUE
ENSMUSG00000061816,Myl1,3357.05836216198,462.038559797479,17528.1428536726,32,TRUE,15.4745022948608,7,TRUE
ENSMUSG00000038239,Hrc,737.86056006767,83.6510906185264,3654.82653150162,25,TRUE,15.3377556510371,8,TRUE
ENSMUSG00000061462,Obscn,694.219336256189,62.977990126785,3298.76353436048,24,TRUE,15.3021549536377,9,TRUE
ENSMUSG00000027861,Casq2,2849.8986606029,176.693059202239,15689.7157577068,31,TRUE,15.1403083805718,10,TRUE
ENSMUSG00000018893,Mb,414.574353095479,20.8173107938543,2119.43066445141,21,TRUE,14.9428488841553,11,TRUE
ENSMUSG00000030672,Mylpf,5939.04376651494,690.761401049703,28294.5738683155,36,TRUE,14.8277617489691,12,TRUE
ENSMUSG00000034898,Filip1,309.244895021143,23.2594164743409,1904.65444502481,21,TRUE,14.7007164941915,13,TRUE
ENSMUSG00000079034,Gm8300,402.799284519161,47.6845460480879,2294.20142359495,21,TRUE,14.6349957251025,14,TRUE
ENSMUSG00000028116,Myoz2,231.054411859473,7.56463050092851,1428.39329548546,17,TRUE,14.6206152205174,15,TRUE
ENSMUSG00000009214,Mymk,1139.50690859807,211.820465883469,4315.26270109593,27,TRUE,14.5263002414359,16,TRUE
ENSMUSG00000019929,Dcn,1500.44724820717,391.194341037941,6452.8379845606,28,TRUE,14.4924347834299,17,TRUE
ENSMUSG00000026459,Myog,1880.94787658073,738.195767258658,6071.1549500369,29,TRUE,14.3226173611622,18,TRUE
ENSMUSG00000029683,Lmod2,528.707719502288,48.7373322848809,2327.59699983003,23,TRUE,14.118996149945,19,TRUE
ENSMUSG00000019787,Trdn,726.799566368382,135.534003267957,3401.35646789707,28,TRUE,13.8091073187601,20,TRUE
ENSMUSG00000031097,Tnni2,892.502456100183,138.619123513257,4579.62932131044,29,TRUE,13.7503162467728,21,TRUE
ENSMUSG00000038403,Hfe2,368.794676512133,74.0036035482289,1664.45321679468,24,TRUE,13.7131382949312,22,TRUE
ENSMUSG00000068614,Actc1,1251.17871238072,315.458063235608,5450.47528046621,29,TRUE,13.2992582638676,23,TRUE
ENSMUSG00000031972,Acta1,6560.13181529263,648.845382355376,24895.3005487233,36,TRUE,13.2575191359304,24,TRUE
ENSMUSG00000079471,Mymx,225.099752948576,37.7241990189568,922.335836568408,23,TRUE,13.2487443426956,25,TRUE
ENSMUSG00000042828,Trim72,404.895422779292,22.0907671949774,2428.35730526935,20,TRUE,13.1705700898939,26,TRUE
ENSMUSG00000069421,Olfr810,225.693595072504,25.7196278157066,1367.71951314974,21,TRUE,13.140090867445,27,TRUE
ENSMUSG00000113178,Mylf-ps,209.456329573637,26.9447285883155,1171.93450198184,22,TRUE,13.1029303570205,28,TRUE
ENSMUSG00000026253,Chrng,1116.31749398848,280.719626072908,4678.65324434611,27,TRUE,13.0687512286147,29,TRUE
ENSMUSG00000033196,Myh2,154.604063321876,3.53325529773365,971.166534530456,13,TRUE,13.0498312939991,30,TRUE
ENSMUSG00000041731,Pgm5,201.299793253367,8.02657818995867,1422.36805736274,16,TRUE,13.0368911608517,31,TRUE
ENSMUSG00000027996,Sfrp2,1465.79588266826,502.313547498584,5430.35571783705,30,TRUE,12.9420393605551,32,TRUE
ENSMUSG00000026418,Tnni1,1528.05160727892,137.905693585692,7602.04084926982,30,TRUE,12.8995848693515,33,TRUE
ENSMUSG00000079092,Prl2c2,306.288562371299,30.1838665476279,2545.09254789278,21,TRUE,12.5920733538852,34,TRUE
ENSMUSG00000061723,Tnnt3,2744.45372412474,291.198964967905,13785.6665692078,36,TRUE,12.5648604217761,35,TRUE
ENSMUSG00000022425,Enpp2,1611.26005436657,530.836153096638,6746.32573561585,31,TRUE,12.5609899269396,36,TRUE
ENSMUSG00000018845,Unc45b,184.292759371306,28.9028303468282,826.713485894167,21,TRUE,12.514185327498,37,TRUE
ENSMUSG00000078949,R3hdml,130.390000541389,2.03690821658786,583.241821916544,15,TRUE,12.4879307471769,38,TRUE
ENSMUSG00000030399,Ckm,180.372724512269,26.6653263331504,792.1913842854,21,TRUE,12.4628063980039,39,TRUE
ENSMUSG00000044086,Lmod3,574.440886973699,97.6016301021633,2951.16082109246,27,TRUE,12.3145044618163,40,TRUE
ENSMUSG00000075307,Klhl41,1959.93243545995,332.104625227142,9296.84473186922,32,TRUE,12.2240557136543,41,TRUE
ENSMUSG00000037139,Myom3,282.552350478913,36.9139405735903,1672.50497530897,22,TRUE,11.8874665793525,42,TRUE
ENSMUSG00000026950,Neb,7691.64955663352,997.297726316462,37652.2489992739,36,TRUE,11.8230789075932,43,TRUE
ENSMUSG00000049001,Ndnf,336.889464542197,85.3317431566624,1649.20223864799,27,TRUE,11.7765882066537,44,TRUE
ENSMUSG00000061086,Myl4,1430.2112157061,50.8139610406078,8987.1792892829,34,TRUE,11.7745926805217,45,TRUE
ENSMUSG00000045103,Dmd,99.1292433099138,1.06735298724412,803.496657569815,10,TRUE,11.5041457024509,46,TRUE
ENSMUSG00000038132,Rbm24,425.56960074148,91.597433494717,1712.49905074719,26,TRUE,11.4746373251988,47,TRUE
ENSMUSG00000020053,Igf1,2199.42705625354,782.673233100256,13701.0827290336,33,TRUE,11.3745183245626,48,TRUE
ENSMUSG00000048424,Ranbp3l,1338.40503169284,708.436416300448,4922.69601187905,30,TRUE,11.35051732199,49,TRUE
ENSMUSG00000001027,Scn4a,117.09151905364,9.10948547620191,672.272505012839,18,TRUE,11.2307774319609,50,TRUE
ENSMUSG00000056457,Prl2c3,1416.07390842725,216.368543509155,11707.5792688998,32,TRUE,10.9838120248095,51,TRUE
ENSMUSG00000043760,Pkhd1,111.700123640455,8.45238129131221,485.126375238995,17,TRUE,10.9691809485696,52,TRUE
ENSMUSG00000030470,Csrp3,125.49380034072,10.2855064573344,724.055657425991,18,TRUE,10.9549635437088,53,TRUE
ENSMUSG00000087591,Gm14635,88.6493228713482,19.6836785639232,334.39778832038,21,TRUE,10.9380433312202,54,TRUE
ENSMUSG00000030116,Mfap5,884.865106415142,191.229521161559,4277.37189923823,32,TRUE,10.8218959704837,55,TRUE
ENSMUSG00000041476,Smpx,125.372318819939,9.30666410078066,776.621268708542,18,TRUE,10.7545070604253,56,TRUE
ENSMUSG00000025172,Ankrd2,112.357368066297,4.53658500454734,511.89069529211,16,TRUE,10.6561811499308,57,TRUE
ENSMUSG00000021373,Cap2,165.175030212669,19.092149435,1132.49076145853,19,TRUE,10.575532822152,58,TRUE
ENSMUSG00000016194,Hsd11b1,174.267856631007,10.1562516921884,875.733604826005,18,TRUE,10.4917413150784,59,TRUE
ENSMUSG00000036040,Adamtsl2,112.244056752182,24.2322971827299,464.006631430927,23,TRUE,10.1082568950394,60,TRUE
ENSMUSG00000031461,Myom2,3229.31226540385,862.979551738433,13637.7779698661,36,TRUE,10.1031676159811,61,TRUE
ENSMUSG00000055775,Myh8,63.1374057635179,3.14829700861084,271.846351830689,12,TRUE,9.98438630641396,62,TRUE
ENSMUSG00000062694,Cav3,51.8598505567931,0.40496802289285,405.022737604961,12,TRUE,9.9825802889817,63,TRUE
ENSMUSG00000074001,Klhl40,212.565363761783,58.4035397178858,935.730648869222,25,TRUE,9.9464962612099,64,TRUE
ENSMUSG00000107134,Gm42528,149.946331095808,57.3603657816069,592.999673744721,25,TRUE,9.94337212393087,65,TRUE
ENSMUSG00000028834,Trim63,97.7333206069017,17.2802590180568,396.0956921427,20,TRUE,9.93084820353793,66,TRUE
ENSMUSG00000029361,Nos1,1034.74697839846,208.737912518396,4838.86506258626,32,TRUE,9.90466241072628,67,TRUE
ENSMUSG00000042895,Abra,110.307321010651,3.45151695890258,936.639125227348,12,TRUE,9.90444911607414,68,TRUE
ENSMUSG00000064179,Tnnt1,1578.59219588003,466.127412730771,6585.28151590923,36,TRUE,9.83214224529305,69,TRUE
ENSMUSG00000037362,Nov,1025.42295897068,177.651631801977,5554.02384178801,30,TRUE,9.75983404676197,70,TRUE
ENSMUSG00000031936,Hephl1,94.67772167075,3.39587538121342,732.849237502129,14,TRUE,9.74830002253506,71,TRUE
ENSMUSG00000009487,Otog,97.0523449300335,19.8919910157358,418.807601095836,22,TRUE,9.6987322322943,72,TRUE
ENSMUSG00000031957,Ctrb1,70.8336717218467,8.68172481994055,324.833384373063,18,TRUE,9.65924017945838,73,TRUE
ENSMUSG00000072720,Myo18b,64.8712783483145,2.71016110160408,347.459708965275,12,TRUE,9.62974102020264,74,TRUE
ENSMUSG00000055368,Slc6a2,158.819622194266,59.5828800312214,966.637717341973,24,TRUE,9.52098605237577,75,TRUE
ENSMUSG00000023224,Serping1,143.784610949575,27.4745553446181,832.655967843209,25,TRUE,9.42652313061386,76,TRUE
ENSMUSG00000096858,Olfr805,480.183628412038,320.80217605766,1415.97090310918,30,TRUE,9.38414186928958,77,TRUE
ENSMUSG00000045776,Lrtm1,57.2001096526517,2.74002452084965,263.461392422645,13,TRUE,9.3021011680033,78,TRUE
ENSMUSG00000022055,Nefl,784.570399823527,369.688236529479,4296.60142363887,33,TRUE,9.17424108098677,79,TRUE
ENSMUSG00000007122,Casq1,215.787961359898,11.3881495271619,927.204460135747,20,TRUE,9.15302887286562,80,TRUE
ENSMUSG00000006362,Cbfa2t3,85.7014788718233,23.5676264939156,387.010928561445,22,TRUE,9.0921106674571,81,TRUE
ENSMUSG00000038670,Mybpc2,55.8536559280812,0.965694087469148,529.871979536588,12,TRUE,9.01766647890957,82,TRUE
ENSMUSG00000051920,Rspo2,48.4988990737402,5.70562681109587,258.425213080907,15,TRUE,9.0083468190839,83,TRUE
ENSMUSG00000079428,Tceal7,68.2149539757254,5.80708481909755,452.209852665733,14,TRUE,8.9845028048995,84,TRUE
ENSMUSG00000048572,Tmem252,43.6935272488635,1.86905577152712,387.327569457172,12,TRUE,8.92018813140042,85,TRUE
ENSMUSG00000076617,Ighm,35.7424867419293,0,292.953339335627,9,TRUE,8.84968590618412,86,TRUE
ENSMUSG00000069372,Ctxn3,40.0785484987435,5.36174127487208,174.263636166959,13,TRUE,8.62079519037778,87,TRUE
ENSMUSG00000037940,Inpp4b,398.711867853145,56.366750502406,1714.37739364251,28,TRUE,8.58603744269247,88,TRUE
ENSMUSG00000032925,Itgbl1,308.763697727863,75.7392846763944,2223.12139579502,30,TRUE,8.57601179192288,89,TRUE
ENSMUSG00000051022,Hs3st1,368.14230348719,168.568838030085,1306.1900414228,32,TRUE,8.52806075015998,90,TRUE
ENSMUSG00000079588,Tmem182,838.743142635664,126.292465839946,3940.12410757448,33,TRUE,8.52506133219122,91,TRUE
ENSMUSG00000038763,Alpk3,92.6311279956413,17.3068530976382,496.0280915365,18,TRUE,8.49432645831145,92,TRUE
ENSMUSG00000034127,Tspan8,1936.15503008029,1418.3093653822,7114.85636535248,33,TRUE,8.47190761748637,93,TRUE
ENSMUSG00000091898,Tnnc1,3180.84768976523,312.875145588363,14815.7710641854,36,TRUE,8.46781365884304,94,TRUE
ENSMUSG00000020140,Lgr5,756.925333081802,680.355729562697,2744.99844201026,33,TRUE,8.4559602192769,95,TRUE
ENSMUSG00000042429,Adora1,47.1358142756004,4.16496473782075,256.214643445474,14,TRUE,8.43392641902729,96,TRUE
ENSMUSG00000032523,Hhatl,61.2852467908415,11.3774599740073,271.32591159944,19,TRUE,8.3877342978082,97,TRUE
ENSMUSG00000057123,Gja5,50.5274524449627,1.03880200299632,522.990525256892,9,TRUE,8.38714587597129,98,TRUE
ENSMUSG00000017493,Igfbp4,438.828907107111,97.4092329328743,2514.66255929127,30,TRUE,8.36964766825954,99,TRUE
ENSMUSG00000035296,Sgcg,384.658487871683,142.74351712278,1742.45765488463,28,TRUE,8.34445253258661,100,TRUE
ENSMUSG00000053093,Myh7,54.7927639285991,4.6726394288178,247.105569410125,14,TRUE,8.25166803204594,101,TRUE
ENSMUSG00000056133,Gm9992,83.4851141762461,12.6044336414474,440.021544248377,19,TRUE,8.21616936140743,102,TRUE
ENSMUSG00000047746,Fbxo40,61.0472180575924,2.86125752403764,547.28201412434,11,TRUE,8.21068066615529,103,TRUE
ENSMUSG00000030730,Atp2a1,741.33913222605,178.22648029446,2758.13422326889,33,TRUE,8.19113493403861,104,TRUE
ENSMUSG00000112963,Gm6093,205.272422861253,43.6178448760526,769.444202304717,24,TRUE,8.17296993508879,105,TRUE
ENSMUSG00000038843,Gcnt1,363.382241687643,106.804246820494,2056.11897792949,27,TRUE,8.15228218279295,106,TRUE
ENSMUSG00000030996,Art1,34.9814361839223,1.04943233620362,249.620884239157,12,TRUE,8.05809248572684,107,TRUE
ENSMUSG00000031022,BC051019,57.8857322646722,5.11786867361696,288.03801485013,14,TRUE,8.01023693486289,108,TRUE
ENSMUSG00000041559,Fmod,664.567786639232,263.071822337299,3127.47578131684,32,TRUE,8.00107408178353,109,TRUE
ENSMUSG00000005360,Slc1a3,2213.56536143977,671.819557504197,8634.29002729939,34,TRUE,7.91663360217281,110,TRUE
ENSMUSG00000024049,Myom1,622.206260342159,69.9959515254501,3112.38346421677,33,TRUE,7.90113348425961,111,TRUE
ENSMUSG00000022510,Trp63,58.1417717598814,6.12182126214769,244.783159377756,15,TRUE,7.8821692488203,112,TRUE
ENSMUSG00000030827,Fgf21,63.3703430037577,13.5124414857028,231.920328827128,21,TRUE,7.81894312277863,113,TRUE
ENSMUSG00000024210,Ip6k3,303.624387460905,154.842062733911,1036.57152462115,28,TRUE,7.76416357844922,114,TRUE
ENSMUSG00000052974,Cyp2f2,37.526920530366,3.41648478677388,255.341394755254,12,TRUE,7.75105406958548,115,TRUE
ENSMUSG00000051497,Kcnj16,179.043682099709,103.847468521708,638.649194622076,30,TRUE,7.74215160285772,116,TRUE
ENSMUSG00000051043,Gprc5c,184.373092798133,29.374051154512,1022.03590289114,25,TRUE,7.73681033003409,117,TRUE
ENSMUSG00000071984,Fndc1,5167.22988929337,3000.8871101936,14697.6662746819,36,TRUE,7.73536845504661,118,TRUE
ENSMUSG00000091345,Col6a5,46.7877346671732,11.8966642069607,238.6386864688,19,TRUE,7.71142000344665,119,TRUE
ENSMUSG00000050359,Sprr1a,84.5771889042956,8.64654311976081,573.939210559525,16,TRUE,7.7078554515019,120,TRUE
ENSMUSG00000000120,Ngfr,48.4291561703913,10.4169003961737,412.002876239344,18,TRUE,7.68098883802663,121,TRUE
ENSMUSG00000020067,Mypn,38.7786193620741,2.85878551465679,203.498704220103,15,TRUE,7.57491250329262,122,TRUE
ENSMUSG00000007034,Slc44a4,43.3329068075801,2.45286836381929,268.376716908142,13,TRUE,7.57487814406785,123,TRUE
ENSMUSG00000026458,Ppfia4,243.673807435321,87.1552968610665,1121.88103067485,29,TRUE,7.53128386773766,124,TRUE
ENSMUSG00000025551,Fgf14,35.6534869472864,5.41713909078276,282.449584152334,14,TRUE,7.53015134537481,125,TRUE
ENSMUSG00000027966,Col11a1,130.516552421031,55.9940912007076,731.019773739867,27,TRUE,7.52359142594223,126,TRUE
ENSMUSG00000063564,Col23a1,104.859656632302,14.4934564047222,485.126375238995,20,TRUE,7.44723071651441,127,TRUE
ENSMUSG00000013936,Myl2,37.2133182840279,0,409.938062090458,6,TRUE,7.43687938134712,128,TRUE
ENSMUSG00000036446,Lum,29.3051200891796,4.38054132454269,126.214377635677,14,TRUE,7.4278258506743,129,TRUE
ENSMUSG00000007097,Atp1a2,398.720933396908,82.7196473048119,1851.90437137427,32,TRUE,7.28624855039021,130,TRUE
ENSMUSG00000022054,Nefm,462.709983023225,142.128334116878,2950.99597069954,32,TRUE,7.25157482258996,131,TRUE
ENSMUSG00000041577,Prelp,2179.61495709593,873.788143177121,11318.1395496741,35,TRUE,7.21688462213969,132,TRUE
ENSMUSG00000030592,Ryr1,2090.51828969451,599.929375645673,9503.49094750511,36,TRUE,7.18023097530793,133,TRUE
ENSMUSG00000037263,Aldh3b3,28.4696526813628,1.05988390084493,145.32019827216,10,TRUE,7.14921959918536,134,TRUE
ENSMUSG00000034981,Parm1,250.932906496272,30.1621719039977,812.807062790161,30,TRUE,7.13770129721782,135,TRUE
ENSMUSG00000032735,Ablim3,105.647297180316,17.7837570564869,677.331714101501,23,TRUE,7.1253635176963,136,TRUE
ENSMUSG00000032243,Itga11,406.759788206302,194.377708224359,1952.61954270582,32,TRUE,7.07872341045864,137,TRUE
ENSMUSG00000052374,Actn2,23.0391487372489,1.00876671875612,153.35812394751,12,TRUE,7.06409982249118,138,TRUE
ENSMUSG00000034438,Gbp8,19.7430977172541,0,154.318481407732,9,TRUE,7.00116228016575,139,TRUE
ENSMUSG00000047686,Rtl3,41.5500630687652,5.22671913860326,227.269036255024,15,TRUE,6.97911633522564,140,TRUE
ENSMUSG00000087364,Gm13398,21.6695716630517,2.49394182865776,101.732284897468,12,TRUE,6.97639693014041,141,TRUE
ENSMUSG00000072905,Gm2016,122.336854505543,37.1934678692913,565.834431828351,24,TRUE,6.89338406407551,142,TRUE
ENSMUSG00000117110,ENSMUSG00000117110,23.4730297995085,1.40362757578405,122.644308346937,13,TRUE,6.88576496390484,143,TRUE
ENSMUSG00000086918,4930429F24Rik,24.7585393948559,1.05404243127887,159.891839030081,11,TRUE,6.86198456376427,144,TRUE
ENSMUSG00000030785,Cox6a2,19.0432106105729,0.955648705366664,104.558181700175,12,TRUE,6.85975021519778,145,TRUE
ENSMUSG00000022836,Mylk,317.154782593761,154.65481876852,1050.49197386002,32,TRUE,6.85644973157395,146,TRUE
ENSMUSG00000108634,Gm38534,23.7385074159084,2.67899181731282,113.559544765682,12,TRUE,6.82204973254805,147,TRUE
ENSMUSG00000022519,Srl,1911.29844422383,344.5005831149,7961.88680261152,36,TRUE,6.80803293784069,148,TRUE
ENSMUSG00000057719,Sh3rf2,81.7459912156402,26.1588281919416,298.183279920594,24,TRUE,6.79674207744901,149,TRUE
ENSMUSG00000028238,Atp6v0d2,35.3073209314165,15.9875591453727,129.066366268285,22,TRUE,6.794700901116,150,TRUE
ENSMUSG00000002944,Cd36,37.7720792371127,4.01183523964561,255.596873245849,13,TRUE,6.79081284918742,151,TRUE
ENSMUSG00000039891,Txlnb,200.894199163247,68.5651994130455,967.527321403614,27,TRUE,6.77350732907739,152,TRUE
ENSMUSG00000025279,Dnase1l3,24.2540494573402,1.50014011164361,117.96778765193,12,TRUE,6.73780075662054,153,TRUE
ENSMUSG00000022032,Scara5,21.7544430163396,4.10037814250917,89.6153717119121,16,TRUE,6.7013914596805,154,TRUE
ENSMUSG00000004939,Nmrk2,26.8260046946497,3.72308718659518,126.223390520932,12,TRUE,6.69415094674509,155,TRUE
ENSMUSG00000057606,Colq,30.5980054950369,4.55995088281158,136.646020696819,13,TRUE,6.65598951076404,156,TRUE
ENSMUSG00000008489,Elavl2,41.679529163079,20.181295660502,146.002571890194,22,TRUE,6.61759676478361,157,TRUE
ENSMUSG00000020866,Cacna1g,50.6005831452412,9.82292254030466,276.901429446919,18,TRUE,6.61156486234448,158,TRUE
ENSMUSG00000041112,Elmo1,136.044390777666,79.5247849843491,449.083772848458,30,TRUE,6.59608635699872,159,TRUE
ENSMUSG00000099906,Gm28653,976.026605398931,596.068231209613,3103.53588014287,35,TRUE,6.41012593525629,160,TRUE
ENSMUSG00000032503,Arpp21,158.499171737079,45.7346134449765,651.772026776916,24,TRUE,6.3907284431618,161,TRUE
ENSMUSG00000038521,C1s1,1150.44907541858,304.628111361602,6338.52544861221,35,TRUE,6.36451429568175,162,TRUE
ENSMUSG00000041695,Kcnj2,2311.73481499889,2255.49279090392,5376.76604331279,36,TRUE,6.32291825207173,163,TRUE
ENSMUSG00000047420,Fam180a,138.710299700201,120.29385647702,390.940152899588,27,TRUE,6.29779424472678,164,TRUE
ENSMUSG00000074892,B3galt5,28.9180778437945,4.63674575843529,152.624028165077,13,TRUE,6.26648612681177,165,TRUE
ENSMUSG00000031654,Cbln1,204.146724451905,21.4658211897805,1192.59210729449,26,TRUE,6.25019376722845,166,TRUE
ENSMUSG00000104045,Gm37565,37.6294119090243,5.36803863718489,198.956322429475,12,TRUE,6.19557948020641,167,TRUE
ENSMUSG00000114596,Gm47523,16.7455389038706,1.01109396611875,71.8451072695392,10,TRUE,6.17645409577861,168,TRUE
ENSMUSG00000058914,C1qtnf3,4699.07074787304,1896.53522286195,15607.1383063504,36,TRUE,6.1656191535501,169,TRUE
ENSMUSG00000044938,Klhl31,202.755702735312,63.5830715246337,922.184323283527,29,TRUE,6.15964407872273,170,TRUE
ENSMUSG00000031621,Isx,17.5930949941826,1.44249392951507,107.200210258804,11,TRUE,6.14224794313084,171,TRUE
ENSMUSG00000108322,5430431A17Rik,43.0589952043409,21.8661551770532,232.228404234837,18,TRUE,6.10107164596757,172,TRUE
ENSMUSG00000040170,Fmo2,23.0573934976572,1.99775238907941,132.525902186931,13,TRUE,6.0991758573,173,TRUE
ENSMUSG00000042717,Ppp1r3a,15.7954147570462,0,139.595215388118,9,TRUE,6.08157878870217,174,TRUE
ENSMUSG00000031673,Cdh11,37.9826962987583,5.3230762932944,216.65208820757,15,TRUE,6.07255351996658,175,TRUE
ENSMUSG00000092397,C130080G10Rik,14.1301650512478,0,78.6451917679536,11,TRUE,6.07031890526271,176,TRUE
ENSMUSG00000062345,Serpinb2,32.6470154883845,2.86144156335984,253.696352364128,12,TRUE,6.06084222102749,177,TRUE
ENSMUSG00000093847,Gm5039,102.578535927432,68.7783594752498,399.744972692462,25,TRUE,6.05559465121523,178,TRUE
ENSMUSG00000056632,Dsg3,34.7834014328911,6.59322633949451,185.567223377788,16,TRUE,6.05042455900977,179,TRUE
ENSMUSG00000064262,Gimap8,23.6937955073637,17.8980378202226,80.5531431118311,21,TRUE,6.03317711731629,180,TRUE
ENSMUSG00000024617,Camk2a,278.756168944723,73.5133959676976,1326.37548286317,30,TRUE,6.02919012461133,181,TRUE
ENSMUSG00000028989,Angptl7,108.572224465856,20.9901395007449,509.711909682542,22,TRUE,6.01597184492243,182,TRUE
ENSMUSG00000074207,Adh1,38.5500876232376,8.70216877977856,241.659429335493,16,TRUE,5.95751043189882,183,TRUE
ENSMUSG00000090210,Itga10,608.994582965519,547.57107848017,1513.72419170387,35,TRUE,5.94931559269343,184,TRUE
ENSMUSG00000032796,Lama1,19.9920998346823,2.58100776833098,107.767660904309,12,TRUE,5.94357479137185,185,TRUE
ENSMUSG00000058145,Adamts17,31.2200581015841,14.556330301753,117.563300327116,20,TRUE,5.93744166289065,186,TRUE
ENSMUSG00000087579,Hectd2os,19.6266790378749,1.97303029442141,150.408929256211,9,TRUE,5.92379561366712,187,TRUE
ENSMUSG00000031283,Chrdl1,242.551377090587,45.9870990004571,1714.29488778274,31,TRUE,5.90258882434951,188,TRUE
ENSMUSG00000008658,Rbfox1,25.8742552739845,2.85084234627557,154.341188844609,12,TRUE,5.8936101552686,189,TRUE
ENSMUSG00000037736,Limch1,16.1490862491979,0.441877551225574,136.585012130859,12,TRUE,5.88393267704546,190,TRUE
ENSMUSG00000066392,Nrxn3,53.4895459692475,14.7962400631424,278.207365879136,20,TRUE,5.88009662928024,191,TRUE
ENSMUSG00000028036,Ptgfr,156.541827546852,105.531452493432,541.719887427064,30,TRUE,5.87852062362935,192,TRUE
ENSMUSG00000021750,Fam107a,74.0667428545166,75.3038029438812,211.358952876375,27,TRUE,5.87802675499188,193,TRUE
ENSMUSG00000027776,Il12a,45.0525631378534,18.8690389542926,145.901109694583,22,TRUE,5.87077288590717,194,TRUE
ENSMUSG00000025892,Gria4,15.4560288234798,0.94072626973065,94.8497255671223,9,TRUE,5.8670154259932,195,TRUE
ENSMUSG00000034810,Scn7a,408.133895627195,327.649738407245,1295.67953437704,33,TRUE,5.85097897679592,196,TRUE
ENSMUSG00000031137,Fgf13,13.4802072309614,0,82.5774513563513,9,TRUE,5.83020389827538,197,TRUE
ENSMUSG00000074652,Myh7b,35.6152003365675,3.92125307066546,236.203853112619,13,TRUE,5.82728714011906,198,TRUE
ENSMUSG00000025165,Sectm1a,23.3271871564211,2.93784548140183,157.107319528055,14,TRUE,5.81952851941358,199,TRUE
ENSMUSG00000044017,Adgrd1,30.579315904251,11.1180900424543,181.867005963393,19,TRUE,5.81004458250886,200,TRUE
ENSMUSG00000055489,Ano5,948.370950299491,568.35976427201,3105.50200993707,35,TRUE,5.75371661933888,201,TRUE
ENSMUSG00000106296,4632404M16Rik,30.6897282876092,9.14126778760451,130.820595570066,18,TRUE,5.74887182202087,202,TRUE
ENSMUSG00000047728,BC025446,31.0163511788595,5.80735538144367,173.019421889498,10,TRUE,5.74654831702689,203,TRUE
ENSMUSG00000059325,Hopx,92.7878379600249,72.5708217585318,261.845532546758,27,TRUE,5.74209872820849,204,TRUE
ENSMUSG00000067001,Serpinb7,48.7939882545642,6.59432924694373,300.705674539527,14,TRUE,5.72074237563073,205,TRUE
ENSMUSG00000027386,Fbln7,801.286646749524,270.086836390291,3891.34524082753,36,TRUE,5.70803392853402,206,TRUE
ENSMUSG00000025175,Fn3k,42.9541381761344,16.1353032240283,214.400420517608,24,TRUE,5.70795113068337,207,TRUE
ENSMUSG00000026489,Coq8a,209.179856603207,39.7159067803556,1063.82581536491,32,TRUE,5.69524122514531,208,TRUE
ENSMUSG00000048764,Tmprss11f,91.4983925864369,35.7478361432167,420.056958452985,27,TRUE,5.69095051517646,209,TRUE
ENSMUSG00000022206,Npr3,538.865823075879,379.766823405061,2095.58031708746,36,TRUE,5.69011403983011,210,TRUE
ENSMUSG00000107655,Gm44220,15.5911138088632,0.980313267666364,103.566304826302,12,TRUE,5.67896133175438,211,TRUE
ENSMUSG00000033453,Adamts15,32.0517217266615,8.5432056450017,158.273448433007,17,TRUE,5.661456407266,212,TRUE
ENSMUSG00000096619,Gm2035,34.3579411985172,11.2482300112406,133.742683886701,20,TRUE,5.65392840294893,213,TRUE
ENSMUSG00000027460,Angpt4,205.63684478059,61.1428628420771,1323.1215073179,30,TRUE,5.63451689128706,214,TRUE
ENSMUSG00000050556,Kcnb1,51.1976932226271,18.7858552544572,258.546067937148,21,TRUE,5.63017096867076,215,TRUE
ENSMUSG00000117508,ENSMUSG00000117508,14.3256164052777,0.930771796648794,85.3967776637931,11,TRUE,5.62813015326274,216,TRUE
ENSMUSG00000037379,Spon2,824.290872321141,620.622419654427,2261.22061445793,34,TRUE,5.59440955604727,217,TRUE
ENSMUSG00000021565,Slc6a19,23.1524600344677,8.74489638148945,144.120736938079,17,TRUE,5.58640527257952,218,TRUE
ENSMUSG00000035258,Abi3bp,66.4098920998813,6.07552317372275,427.938572781603,9,TRUE,5.57829419320183,219,TRUE
ENSMUSG00000079363,Gbp4,18.38747764881,1.05597389340848,146.419746771044,9,TRUE,5.57536574086423,220,TRUE
ENSMUSG00000050251,Olfr809,15.6078587266228,1.9696326987098,94.0307165290446,12,TRUE,5.55880578247179,221,TRUE
ENSMUSG00000032495,Lrrc2,14.6038069557271,0.40496802289285,113.035872108297,9,TRUE,5.55411445390241,222,TRUE
